,Activity Id,Students Sets,Subject,Teachers,Room,SKS,Schedules,Schedule Time
70,71,IT-03-02,23759 - ITA2233 - ANALISIS DAN PERANCANGAN SISTEM,AWS,KELAS,3,4,"Selasa, 10.00 - 12.50"
22,23,IF-01-02,23921 - FIB1052 - BAHASA  INGGRIS,ALD,KELAS,2,4,"Selasa, 10.00 - 12.50"
58,59,IS-02-01,23824 - ISA3233 - MANAJEMEN LAYANAN,ARS,KELAS,3,4,"Selasa, 10.00 - 12.50"
236,237,IS-02-02,23822 - ISA3213 - KEAMANAN SISTEM INFORMASI,NAS,KELAS,3,5,"Selasa, 13.00 - 15.50"
122,123,CE-03-01,23259 - FEA2214 - ELEKTRONIKA,EDS,KELAS,2,5,"Selasa, 13.00 - 15.50"
72,73,IT-04-01,23745 - FIA1214 - ALGORITMA DAN  STRUKTUR DATA,BAS,KELAS,3,5,"Selasa, 13.00 - 15.50"
28,29,TE-04-01,23188 - FEA1013 - ALGORITMA DAN PEMROGRAMAN,ALF,KELAS,3,5,"Selasa, 13.00 - 15.50"
336,337,IS-04-04,23797 - LAA1012 - BAHASA INGGRIS 1,RZK,KELAS,2,5,"Selasa, 13.00 - 15.50"
323,324,TE-03-02,23226 - FEA2023 - PENGOLAHAN SINYAL DIGITAL,RMU,KELAS,3,5,"Selasa, 13.00 - 15.50"
245,246,IE-03-01,23593 - IEA2231 - PRAKTIKUM PROSES MANUFAKTUR,NNR,LAB,1,5,"Selasa, 13.00 - 15.50"
50,51,IF-01-02,23924 - IFB1234 - FISIKA,ARD,KELAS,3,5,"Selasa, 13.00 - 15.50"
41,42,IS-03-05,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,ANO,LAB,3,5,"Selasa, 13.00 - 15.50"
46,47,EE-01-01,23426 - EEA40I3 - MEKATRONIKA,ARA,KELAS,3,5,"Selasa, 13.00 - 15.50"
109,110,IE-03-02,23583 - IEA2243 - ANALISIS DAN ESTIMASI BIAYA,DMI,KELAS,3,5,"Selasa, 13.00 - 15.50"
313,314,IS-03-02,23812 - FIA2014 - PERANCANGAN  BASIS DATA,RIN,KELAS,3,5,"Selasa, 13.00 - 15.50"
308,309,DS-01-01,23877 - DSB1214 - ALGORITMA DAN STRUKTUR DATA,RGT,LAB,3,5,"Selasa, 13.00 - 15.50"
102,103,IT-03-01,23761 - ITA2283 - KEAMANAN INFORMASI,DIB,KELAS,3,5,"Selasa, 13.00 - 15.50"
267,268,EE-04-01,23288 - SCA1211 - PRAKTIKUM FISIKA 2,ONI,LAB,1,5,"Selasa, 13.00 - 15.50"
302,303,IF-01-01,23925 - IFB1244 - SISTEM DIGITAL,RFM,LAB,3,5,"Selasa, 13.00 - 15.50"
86,87,CE-04-01,23168 - FEA1013 - ALGORITMA DAN PEMROGRAMAN,BLM,KELAS,3,5,"Selasa, 13.00 - 15.50"
388,389,IE-02-02,23620 - IEA3052 - PENGANTAR MANAJEMEN PELABUHAN,WAP,KELAS,2,5,"Selasa, 13.00 - 15.50"
83,84,IE-04-02,23464 - IEA1211 - PRAKTIKUM MENGGAMBAR TEKNIK,BIA,LAB,1,5,"Selasa, 13.00 - 15.50"
282,283,DB-01-01,23983 - FIB1042 - PENGANTAR INDUSTRI TELEKOMUNIKASI,RAS,KELAS,2,5,"Selasa, 13.00 - 15.50"
297,298,IE-03-03,23584 - IEA2221 - PRAKTIKUM PERANCANGAN KERJA DAN ERGONOMI,RDP,LAB,1,5,"Selasa, 13.00 - 15.50"
71,72,IT-03-03,23759 - ITA2233 - ANALISIS DAN PERANCANGAN SISTEM,AWS,KELAS,3,5,"Selasa, 13.00 - 15.50"
114,115,EE-02-01,23310 - EEA3231 - PRAKTIKUM SISTEM INSTRUMENTASI DAN PENGUKURAN,DMS,LAB,1,5,"Selasa, 13.00 - 15.50"
135,136,TE-02-02,23244 - TEA3213 - ANTENA DAN PROPAGASI,FSA,KELAS,3,5,"Selasa, 13.00 - 15.50"
404,405,IS-04-02,23800 - FIA1214 - ALGORITMA  DAN STRUKTUR DATA,YPS,KELAS,3,5,"Selasa, 13.00 - 15.50"
14,15,TE-02-01,23184 - LAA1022 - BAHASA INGGRIS 2,AFR,KELAS,2,5,"Selasa, 13.00 - 15.50"
156,157,DB-01-02,23982 - FIB1022 - KEWARGANEGARAAN,HAR,KELAS,2,5,"Selasa, 13.00 - 15.50"
176,177,TE-04-02,23187 - LAA1032 - BAHASA INDONESIA,HRM,KELAS,2,5,"Selasa, 13.00 - 15.50"
167,168,IT-02-01,23770 - ITA3273 - PEMBELAJARAN MESIN,HMM,KELAS,3,5,"Selasa, 13.00 - 15.50"
206,207,IT-02-02,23771 - ITA3233 - DATA WAREHOUSE,KMD,KELAS,3,5,"Selasa, 13.00 - 15.50"
209,210,IS-03-04,23814 - ISA2253 - MANAJEMEN RANTAI PASOK,LIA,KELAS,3,5,"Selasa, 13.00 - 15.50"
191,192,IE-04-01,23430 - MAA1214 - KALKULUS 2A,KHG,KELAS,2,5,"Selasa, 13.00 - 15.50"
3,4,TE-03-01,23206 - FEA2214 - ELEKTRONIKA,AAF,KELAS,2,5,"Selasa, 13.00 - 15.50"
18,19,IS-03-01,23812 - FIA2014 - PERANCANGAN  BASIS DATA,AGS,LAB,3,5,"Selasa, 13.00 - 15.50"
200,201,EE-03-01,23347 - MAA2013 - PROBABILITAS DAN STATISTIK,KHL,KELAS,3,5,"Selasa, 13.00 - 15.50"
173,174,SE-04-01,23682 - MAA1223 - KALKULUS 2B,HNF,KELAS,3,5,"Selasa, 13.00 - 15.50"
375,376,SE-02-01,23707 - SEA3252 - KAPITA SELEKTA,TTK,KELAS,2,5,"Selasa, 13.00 - 15.50"
347,348,IS-04-01,23796 - MAA1013 - MATRIKS DAN VEKTOR,SRI,KELAS,3,5,"Selasa, 13.00 - 15.50"
380,381,CE-02-01,23363 - CEA3211 - PRAKTIKUM KEAMANAN JARINGAN DAN KOMPUTER,UBM,LAB,1,5,"Selasa, 13.00 - 15.50"
217,218,IS-04-03,23798 - LAA1032 - BAHASA INDONESIA,LSH,KELAS,2,5,"Selasa, 13.00 - 15.50"
222,223,IS-03-05,23812 - FIA2014 - PERANCANGAN  BASIS DATA,MDF,LAB,3,6,"Rabu, 07:00 - 09.50"
258,259,TE-04-01,23193 - MAA1023 - MATEMATIKA DISKRIT,NRR,KELAS,3,6,"Rabu, 07:00 - 09.50"
103,104,IT-03-02,23757 - ITA2224 - PEMROGRAMAN BERBASIS OBJEK,DIB,KELAS,3,6,"Rabu, 07:00 - 09.50"
311,312,IT-02-02,23770 - ITA3273 - PEMBELAJARAN MESIN,RGT,KELAS,3,6,"Rabu, 07:00 - 09.50"
376,377,SE-02-01,23706 - SEA3243 - PENJAMINAN KUALITAS PERANGKAT LUNAK,TTK,KELAS,3,6,"Rabu, 07:00 - 09.50"
87,88,CE-04-01,23186 - FEA1011 - PRAKTIKUM ALGORITMA DAN PEMROGRAMAN,BLM,LAB,1,6,"Rabu, 07:00 - 09.50"
168,169,IT-02-01,23854 - ITA40A3 - PENGOLAHAN CITRA DIGITAL,HMM,KELAS,3,6,"Rabu, 07:00 - 09.50"
194,195,EE-01-01,23654 - FEA4054 - TUGAS AKHIR,KHL,KELAS,4,6,"Rabu, 07:00 - 09.50"
56,57,IT-03-03,23760 - ITA2273 - KECERDASAN BUATAN,ARN,KELAS,3,6,"Rabu, 07:00 - 09.50"
303,304,IF-01-02,23925 - IFB1244 - SISTEM DIGITAL,RFM,KELAS,3,6,"Rabu, 07:00 - 09.50"
192,193,IE-04-02,23430 - MAA1214 - KALKULUS 2A,KHG,KELAS,2,6,"Rabu, 07:00 - 09.50"
10,11,IE-03-02,23585 - HUA10A2 - PENDIDIKAN AGAMA DAN ETIKA - ISLAM,AAS,KELAS,2,6,"Rabu, 07:00 - 09.50"
402,403,IS-04-01,23800 - FIA1214 - ALGORITMA  DAN STRUKTUR DATA,YPS,KELAS,3,6,"Rabu, 07:00 - 09.50"
280,281,IS-03-04,23810 - ISA2223 - PERANCANGAN INTERAKSI,PUR,KELAS,3,6,"Rabu, 07:00 - 09.50"
270,271,TE-04-02,23183 - SCA1211 - PRAKTIKUM FISIKA 2,ONI,LAB,1,6,"Rabu, 07:00 - 09.50"
389,390,IE-03-01,23575 - IEA2033 - STATISTIKA INDUSTRI,WAP,KELAS,3,6,"Rabu, 07:00 - 09.50"
314,315,IS-03-02,23812 - FIA2014 - PERANCANGAN  BASIS DATA,RIN,LAB,3,6,"Rabu, 07:00 - 09.50"
157,158,DS-01-01,23878 - FIB1022 - KEWARGANEGARAAN,HAR,KELAS,2,6,"Rabu, 07:00 - 09.50"
110,111,IE-03-03,23583 - IEA2243 - ANALISIS DAN ESTIMASI BIAYA,DMI,KELAS,3,6,"Rabu, 07:00 - 09.50"
21,22,IF-01-01,23921 - FIB1052 - BAHASA  INGGRIS,ALD,KELAS,2,6,"Rabu, 07:00 - 09.50"
348,349,IS-04-02,23796 - MAA1013 - MATRIKS DAN VEKTOR,SRI,KELAS,3,6,"Rabu, 07:00 - 09.50"
398,399,DB-01-02,24025 - DBB1213 - TEORI PROBABILITAS,YAN,KELAS,3,6,"Rabu, 07:00 - 09.50"
27,28,CE-02-01,23369 - CEA3243 - KECERDASAN BUATAN,ALF,KELAS,3,6,"Rabu, 07:00 - 09.50"
229,230,IS-04-03,23800 - FIA1214 - ALGORITMA  DAN STRUKTUR DATA,MNP,LAB,3,6,"Rabu, 07:00 - 09.50"
337,338,IT-04-01,23746 - LAA1022 - BAHASA INGGRIS 2,RZK,KELAS,2,6,"Rabu, 07:00 - 09.50"
146,147,IT-04-02,23749 - SCA1024 - FISIKA DASAR  B,FZN,LAB,3,6,"Rabu, 07:00 - 09.50"
213,214,IE-04-01,23435 - LAA1032 - BAHASA INDONESIA,LSH,KELAS,2,6,"Rabu, 07:00 - 09.50"
123,124,CE-03-01,23259 - FEA2214 - ELEKTRONIKA,EDS,KELAS,2,6,"Rabu, 07:00 - 09.50"
4,5,TE-03-01,23206 - FEA2214 - ELEKTRONIKA,AAF,KELAS,2,6,"Rabu, 07:00 - 09.50"
149,150,IE-02-02,23618 - IEA3043 - ORGANISASI DAN MANAJEMEN PERUSAHAAN INDUSTRI,GRA,KELAS,3,6,"Rabu, 07:00 - 09.50"
370,371,EE-02-01,23215 - TPA3022 - KEWIRAUSAHAAN,TRI,KELAS,2,6,"Rabu, 07:00 - 09.50"
324,325,TE-03-02,23227 - FEA2021 - PRAKTIKUM PENGOLAHAN SINYAL DIGITAL,RMU,LAB,1,6,"Rabu, 07:00 - 09.50"
151,152,TE-01-01,23337 - FEA4042 - METODE PENELITIAN DAN PENGEMBANGAN,HAM,KELAS,2,6,"Rabu, 07:00 - 09.50"
116,117,EE-04-01,23297 - EEA1022 - PENGENALAN TEKNIK ELEKTRO,DMS,KELAS,2,6,"Rabu, 07:00 - 09.50"
76,77,IE-02-01,23619 - IEA3032 - K3 (KESEHATAN DAN KESELAMATAN KERJA) PELABUHAN,BIA,KELAS,2,6,"Rabu, 07:00 - 09.50"
359,360,DB-01-01,23987 - DBB1232 - EKONOMI DIGITAL,SWP,KELAS,2,6,"Rabu, 07:00 - 09.50"
59,60,IS-02-02,23824 - ISA3233 - MANAJEMEN LAYANAN,ARS,KELAS,3,6,"Rabu, 07:00 - 09.50"
394,395,TE-02-02,23252 - TEA3221 - PRAKTIKUM ELEKTRONIKA TELEKOMUNIKASI,WLD,LAB,1,6,"Rabu, 07:00 - 09.50"
300,301,SE-04-01,23683 - SCA1024 - FISIKA DASAR B,RFD,LAB,3,6,"Rabu, 07:00 - 09.50"
298,299,DS-01-01,23879 - FIB1042 - PENGANTAR  INDUSTRI TELEKOMUNIKASI,RFD,KELAS,2,7,"Rabu, 10.00 - 12.50"
372,373,TE-04-01,23191 - TEA1022 - PENGENALAN TEKNIK TELEKOMUNIKASI,TRI,KELAS,2,7,"Rabu, 10.00 - 12.50"
19,20,IE-04-01,23433 - LAA1022 - BAHASA INGGRIS 2,ALD,KELAS,2,7,"Rabu, 10.00 - 12.50"
304,305,IF-01-02,23925 - IFB1244 - SISTEM DIGITAL,RFM,LAB,3,7,"Rabu, 10.00 - 12.50"
9,10,IE-03-01,23585 - HUA10A2 - PENDIDIKAN AGAMA DAN ETIKA - ISLAM,AAS,KELAS,2,7,"Rabu, 10.00 - 12.50"
360,361,DB-01-02,23987 - DBB1232 - EKONOMI DIGITAL,SWP,KELAS,2,7,"Rabu, 10.00 - 12.50"
316,317,IS-03-03,23812 - FIA2014 - PERANCANGAN  BASIS DATA,RIN,LAB,3,7,"Rabu, 10.00 - 12.50"
48,49,IF-01-01,23924 - IFB1234 - FISIKA,ARD,KELAS,3,7,"Rabu, 10.00 - 12.50"
12,13,CE-04-01,23209 - LAA1022 - BAHASA INGGRIS 2,AFR,KELAS,2,7,"Rabu, 10.00 - 12.50"
325,326,TE-03-02,23222 - TEA2211 - PRAKTIKUM MIKROPROSESOR,RMU,LAB,1,7,"Rabu, 10.00 - 12.50"
386,387,IS-03-02,23810 - ISA2223 - PERANCANGAN INTERAKSI,ULF,KELAS,3,7,"Rabu, 10.00 - 12.50"
350,351,IS-04-04,23796 - MAA1013 - MATRIKS DAN VEKTOR,SRI,KELAS,3,7,"Rabu, 10.00 - 12.50"
338,339,SE-04-01,23680 - LAA1022 - BAHASA INGGRIS 2,RZK,KELAS,2,7,"Rabu, 10.00 - 12.50"
381,382,CE-02-01,23344 - CEA3213 - KEAMANAN JARINGAN DAN KOMPUTER,UBM,KELAS,3,7,"Rabu, 10.00 - 12.50"
403,404,IS-04-01,23800 - FIA1214 - ALGORITMA  DAN STRUKTUR DATA,YPS,LAB,3,7,"Rabu, 10.00 - 12.50"
377,378,SE-03-01,23695 - SEA2223 - ANALISIS KEBUTUHAN PERANGKAT LUNAK,TTK,KELAS,3,7,"Rabu, 10.00 - 12.50"
148,149,EE-02-01,23417 - EEA40F3 - MANAJEMEN LOGISTIK,GRA,KELAS,3,7,"Rabu, 10.00 - 12.50"
390,391,IE-03-02,23575 - IEA2033 - STATISTIKA INDUSTRI,WAP,KELAS,3,7,"Rabu, 10.00 - 12.50"
255,256,TE-03-01,23221 - TEA2213 - MIKROPROSESOR,NRR,KELAS,3,7,"Rabu, 10.00 - 12.50"
105,106,IT-03-02,23761 - ITA2283 - KEAMANAN INFORMASI,DIB,KELAS,3,7,"Rabu, 10.00 - 12.50"
260,261,IT-03-01,23762 - ITA2243 - JARINGAN KOMPUTER LANJUT,OKT,KELAS,3,7,"Rabu, 10.00 - 12.50"
124,125,CE-03-02,23246 - FEA2023 - PENGOLAHAN SINYAL DIGITAL,EDS,KELAS,3,7,"Rabu, 10.00 - 12.50"
152,153,TE-02-01,23252 - TEA3221 - PRAKTIKUM ELEKTRONIKA TELEKOMUNIKASI,HAM,LAB,1,7,"Rabu, 10.00 - 12.50"
137,138,SE-02-01,23727 - SEA30D3 - PEMROGRAMAN GAME,FWP,LAB,3,7,"Rabu, 10.00 - 12.50"
162,163,IT-04-01,23747 - HUA1023 - PANCASILA DAN KEWARGANEGARAAN,HAR,KELAS,3,7,"Rabu, 10.00 - 12.50"
397,398,DB-01-01,24025 - DBB1213 - TEORI PROBABILITAS,YAN,KELAS,3,7,"Rabu, 10.00 - 12.50"
249,250,IE-03-03,23593 - IEA2231 - PRAKTIKUM PROSES MANUFAKTUR,NNR,LAB,1,7,"Rabu, 10.00 - 12.50"
271,272,TE-04-02,23182 - SCA1213 - FISIKA 2,ONI,KELAS,3,7,"Rabu, 10.00 - 12.50"
193,194,IE-04-02,23430 - MAA1214 - KALKULUS 2A,KHG,KELAS,2,7,"Rabu, 10.00 - 12.50"
177,178,IS-03-01,23814 - ISA2253 - MANAJEMEN RANTAI PASOK,HWM,KELAS,3,7,"Rabu, 10.00 - 12.50"
174,175,EE-04-01,23300 - LAA1032 - BAHASA INDONESIA,HRM,KELAS,2,7,"Rabu, 10.00 - 12.50"
77,78,IE-02-01,23620 - IEA3052 - PENGANTAR MANAJEMEN PELABUHAN,BIA,KELAS,2,7,"Rabu, 10.00 - 12.50"
286,287,IS-03-05,23811 - ISA2233 - REKAYASA PROSES BISNIS,RAS,KELAS,3,7,"Rabu, 10.00 - 12.50"
241,242,CE-03-01,23261 - MAA2013 - PROBABILITAS DAN STATISTIK,NIS,KELAS,3,7,"Rabu, 10.00 - 12.50"
289,290,IE-02-02,23623 - IEA3233 - PERANCANGAN PRODUK,RAZ,KELAS,3,7,"Rabu, 10.00 - 12.50"
225,226,IS-01-01,23830 - FIA4022 - METODE PENELITIAN DAN PENGEMBANGAN,MNP,KELAS,2,7,"Rabu, 10.00 - 12.50"
250,251,IS-02-01,23826 - TPA3022 - KEWIRAUSAHAAN,NPI,KELAS,2,7,"Rabu, 10.00 - 12.50"
23,24,CE-01-01,23295 - CEA40H3 - KOMPUTASI PARALLEL,ALF,KELAS,3,8,"Rabu, 13.00 - 15.50"
345,346,CE-04-01,23149 - HUA1023 - PANCASILA DAN KEWARGANEGARAAN,SMH,KELAS,3,8,"Rabu, 13.00 - 15.50"
138,139,SE-02-01,23704 - SEA3264 - PROSES DAN IMPLEMENTASI PERANGKAT LUNAK,FWP,KELAS,3,8,"Rabu, 13.00 - 15.50"
385,386,IS-03-01,23810 - ISA2223 - PERANCANGAN INTERAKSI,ULF,KELAS,3,8,"Rabu, 13.00 - 15.50"
129,130,IT-03-03,23758 - ITA2213 - INTERAKSI MANUSIA DAN KOMPUTER,FRH,KELAS,3,8,"Rabu, 13.00 - 15.50"
290,291,IE-02-02,23621 - IEA3213 - PENGENDALIAN DAN PENJAMINAN MUTU,RAZ,KELAS,3,8,"Rabu, 13.00 - 15.50"
147,148,CE-02-01,23279 - CEA30A3 - MANAJEMEN LOGISTIK,GRA,KELAS,3,8,"Rabu, 13.00 - 15.50"
405,406,IS-04-02,23800 - FIA1214 - ALGORITMA  DAN STRUKTUR DATA,YPS,LAB,3,8,"Rabu, 13.00 - 15.50"
153,154,TE-02-01,23316 - TEA3233 - SISTEM KOMUNIKASI SELULER,HAM,KELAS,3,8,"Rabu, 13.00 - 15.50"
356,357,TE-03-02,23206 - FEA2214 - ELEKTRONIKA,SSJ,KELAS,2,8,"Rabu, 13.00 - 15.50"
11,12,IE-03-03,23585 - HUA10A2 - PENDIDIKAN AGAMA DAN ETIKA - ISLAM,AAS,KELAS,2,8,"Rabu, 13.00 - 15.50"
164,165,IT-04-01,23748 - MAA1023 - MATEMATIKA DISKRIT,HEL,KELAS,3,8,"Rabu, 13.00 - 15.50"
364,365,IT-02-01,23852 - ITA30B3 - MANAJEMEN LOGISTIK,T05,KELAS,3,8,"Rabu, 13.00 - 15.50"
175,176,TE-04-01,23187 - LAA1032 - BAHASA INDONESIA,HRM,KELAS,2,8,"Rabu, 13.00 - 15.50"
396,397,TE-03-01,23203 - MAA2213 - MATEMATIKA TEKNIK 2,WLD,KELAS,3,8,"Rabu, 13.00 - 15.50"
406,407,IS-03-03,23809 - ISA2213 - ANALISIS DAN PERANCANGAN SISTEM INFORMASI,ZAK,KELAS,3,8,"Rabu, 13.00 - 15.50"
145,146,IT-04-02,23749 - SCA1024 - FISIKA DASAR  B,FZN,KELAS,3,8,"Rabu, 13.00 - 15.50"
125,126,CE-03-02,23259 - FEA2214 - ELEKTRONIKA,EDS,KELAS,2,8,"Rabu, 13.00 - 15.50"
178,179,IS-04-03,23801 - ISA1213 - SISTEM ENTERPRISE,HWM,KELAS,3,8,"Rabu, 13.00 - 15.50"
243,244,IE-02-01,23618 - IEA3043 - ORGANISASI DAN MANAJEMEN PERUSAHAAN INDUSTRI,NIS,KELAS,3,8,"Rabu, 13.00 - 15.50"
331,332,IS-02-01,23821 - LAA1022 - BAHASA INGGRIS 2,RZK,KELAS,2,8,"Rabu, 13.00 - 15.50"
53,54,IT-03-01,23759 - ITA2233 - ANALISIS DAN PERANCANGAN SISTEM,ARN,KELAS,3,8,"Rabu, 13.00 - 15.50"
261,262,IT-03-02,23762 - ITA2243 - JARINGAN KOMPUTER LANJUT,OKT,KELAS,3,8,"Rabu, 13.00 - 15.50"
312,313,IS-01-01,23836 - ISA40D3 - DATA WAREHOUSE DAN INTELIJEN BISNIS,RIN,KELAS,3,8,"Rabu, 13.00 - 15.50"
49,50,IF-01-01,23924 - IFB1234 - FISIKA,ARD,LAB,3,8,"Rabu, 13.00 - 15.50"
91,92,IE-04-02,23461 - IEA1032 - PENGETAHUAN LINGKUNGAN,BLW,KELAS,2,8,"Rabu, 13.00 - 15.50"
299,300,SE-04-01,23683 - SCA1024 - FISIKA DASAR B,RFD,KELAS,3,8,"Rabu, 13.00 - 15.50"
326,327,EE-02-01,23307 - EEA3233 - SISTEM INSTRUMENTASI DAN PENGUKURAN,RSY,KELAS,3,8,"Rabu, 13.00 - 15.50"
251,252,IS-02-02,23825 - ISA3242 - ETIKA PROFESI TEKNOLOGI INFORMASI,NPI,KELAS,2,8,"Rabu, 13.00 - 15.50"
118,119,IE-04-01,23461 - IEA1032 - PENGETAHUAN LINGKUNGAN,DNR,KELAS,2,8,"Rabu, 13.00 - 15.50"
319,320,TE-01-01,23352 - TEA40I3 - SISTEM TRANSPORTASI CERDAS,RMU,KELAS,3,8,"Rabu, 13.00 - 15.50"
273,274,SE-03-01,23693 - FIA2014 - PERANCANGAN BASIS DATA,PNG,KELAS,3,8,"Rabu, 13.00 - 15.50"
401,402,IS-01-01,23831 - ISA4212 - KAPITA SELEKTA,YPS,KELAS,2,9,"Kamis, 07:00 - 09.50"
31,32,IT-04-02,23750 - ITA1213 - KOMUNIKASI DATA,AMI,KELAS,3,9,"Kamis, 07:00 - 09.50"
365,366,IT-02-02,23852 - ITA30B3 - MANAJEMEN LOGISTIK,T05,KELAS,3,9,"Kamis, 07:00 - 09.50"
54,55,IT-03-01,23760 - ITA2273 - KECERDASAN BUATAN,ARN,KELAS,3,9,"Kamis, 07:00 - 09.50"
278,279,IS-02-01,23823 - ISA3223 - REKAYASA PERANGKAT LUNAK: CAPSTONE PROJECT,PUR,KELAS,3,9,"Kamis, 07:00 - 09.50"
182,183,EE-02-01,23294 - EEA3213 - SISTEM TENAGA ELEKTRIK,ISA,KELAS,3,9,"Kamis, 07:00 - 09.50"
371,372,TE-01-01,23327 - FEA4012 - ETIKA PROFESI,TRI,KELAS,2,9,"Kamis, 07:00 - 09.50"
287,288,IE-02-01,23623 - IEA3233 - PERANCANGAN PRODUK,RAZ,KELAS,3,9,"Kamis, 07:00 - 09.50"
180,181,EE-03-01,23329 - FEA2214 - ELEKTRONIKA,IFA,KELAS,2,9,"Kamis, 07:00 - 09.50"
387,388,IS-03-03,23810 - ISA2223 - PERANCANGAN INTERAKSI,ULF,KELAS,3,9,"Kamis, 07:00 - 09.50"
179,180,IS-04-04,23801 - ISA1213 - SISTEM ENTERPRISE,HWM,KELAS,3,9,"Kamis, 07:00 - 09.50"
275,276,SE-03-01,23694 - FIA2023 - SISTEM OPERASI KOMPUTER,PNG,KELAS,3,9,"Kamis, 07:00 - 09.50"
407,408,IS-03-04,23809 - ISA2213 - ANALISIS DAN PERANCANGAN SISTEM INFORMASI,ZAK,KELAS,3,9,"Kamis, 07:00 - 09.50"
51,52,IF-01-02,23924 - IFB1234 - FISIKA,ARD,LAB,3,9,"Kamis, 07:00 - 09.50"
357,358,TE-03-02,23206 - FEA2214 - ELEKTRONIKA,SSJ,KELAS,2,9,"Kamis, 07:00 - 09.50"
291,292,IE-01-01,23632 - IEA4023 - MANAJEMEN RANTAI PASOK KEMARITIMAN,RDP,KELAS,3,9,"Kamis, 07:00 - 09.50"
128,129,IT-03-02,23758 - ITA2213 - INTERAKSI MANUSIA DAN KOMPUTER,FRH,KELAS,3,9,"Kamis, 07:00 - 09.50"
392,393,TE-02-01,23251 - TEA3223 - ELEKTRONIKA TELEKOMUNIKASI,WLD,KELAS,3,9,"Kamis, 07:00 - 09.50"
230,231,SE-01-01,23715 - TPA3022 - KEWIRAUSAHAAN,MSK,KELAS,2,9,"Kamis, 07:00 - 09.50"
119,120,TE-03-01,23317 - TPA3022 - KEWIRAUSAHAAN,DNR,KELAS,2,9,"Kamis, 07:00 - 09.50"
327,328,EE-04-01,23304 - FEA1013 - ALGORITMA DAN PEMROGRAMAN,RSY,KELAS,3,9,"Kamis, 07:00 - 09.50"
262,263,IT-03-03,23761 - ITA2283 - KEAMANAN INFORMASI,OKT,KELAS,3,9,"Kamis, 07:00 - 09.50"
126,127,CE-03-02,23259 - FEA2214 - ELEKTRONIKA,EDS,KELAS,2,9,"Kamis, 07:00 - 09.50"
131,132,TE-01-02,23337 - FEA4042 - METODE PENELITIAN DAN PENGEMBANGAN,FSA,KELAS,2,9,"Kamis, 07:00 - 09.50"
400,401,IT-01-01,23781 - ITA4223 - E-BUSINESS,YAN,KELAS,3,9,"Kamis, 07:00 - 09.50"
113,114,EE-01-01,23427 - EEA40J3 - INTERNET OF THINGS,DMS,KELAS,3,9,"Kamis, 07:00 - 09.50"
139,140,SE-02-01,23704 - SEA3264 - PROSES DAN IMPLEMENTASI PERANGKAT LUNAK,FWP,KELAS,3,9,"Kamis, 07:00 - 09.50"
17,18,IS-03-01,23812 - FIA2014 - PERANCANGAN  BASIS DATA,AGS,KELAS,3,9,"Kamis, 07:00 - 09.50"
332,333,IS-02-02,23821 - LAA1022 - BAHASA INGGRIS 2,RZK,KELAS,2,9,"Kamis, 07:00 - 09.50"
24,25,CE-01-01,23292 - CEA40F3 - KENDARAAN CERDAS OTOMATIS TERHUBUNG,ALF,KELAS,3,9,"Kamis, 07:00 - 09.50"
393,394,TE-02-01,23339 - TEA40A3 - KOMUNIKASI OPTIK,WLD,KELAS,3,10,"Kamis, 10.00 - 12.50"
379,380,CE-01-01,23371 - CEA40E3 - JARINGAN NIRKABEL,UBM,KELAS,3,10,"Kamis, 10.00 - 12.50"
408,409,IS-03-05,23809 - ISA2213 - ANALISIS DAN PERANCANGAN SISTEM INFORMASI,ZAK,KELAS,3,10,"Kamis, 10.00 - 12.50"
263,264,IT-03-03,23762 - ITA2243 - JARINGAN KOMPUTER LANJUT,OKT,KELAS,3,10,"Kamis, 10.00 - 12.50"
117,118,EE-01-01,23655 - FEA4023 - MANAJEMEN PROYEK,DNR,KELAS,3,10,"Kamis, 10.00 - 12.50"
181,182,EE-03-01,23329 - FEA2214 - ELEKTRONIKA,IFA,KELAS,2,10,"Kamis, 10.00 - 12.50"
183,184,EE-02-01,23298 - EEA3211 - PRAKTIKUM SISTEM TENAGA ELEKTRIK,ISA,LAB,1,10,"Kamis, 10.00 - 12.50"
369,370,IS-01-01,23832 - FIA4034 - TUGAS AKHIR,T10,KELAS,4,10,"Kamis, 10.00 - 12.50"
231,232,SE-01-01,23712 - FIA4022 - METODE PENELITIAN DAN PENGEMBANGAN,MSK,KELAS,2,10,"Kamis, 10.00 - 12.50"
242,243,CE-03-02,23261 - MAA2013 - PROBABILITAS DAN STATISTIK,NIS,KELAS,3,10,"Kamis, 10.00 - 12.50"
252,253,IS-02-02,23826 - TPA3022 - KEWIRAUSAHAAN,NPI,KELAS,2,10,"Kamis, 10.00 - 12.50"
140,141,SE-02-01,23723 - SEA3023 - SISTEM INFORMASI GEOGRAFIS,FWP,LAB,3,10,"Kamis, 10.00 - 12.50"
127,128,IT-03-01,23758 - ITA2213 - INTERAKSI MANUSIA DAN KOMPUTER,FRH,KELAS,3,10,"Kamis, 10.00 - 12.50"
288,289,IE-02-01,23621 - IEA3213 - PENGENDALIAN DAN PENJAMINAN MUTU,RAZ,KELAS,3,10,"Kamis, 10.00 - 12.50"
328,329,TE-04-02,23188 - FEA1013 - ALGORITMA DAN PEMROGRAMAN,RSY,KELAS,3,10,"Kamis, 10.00 - 12.50"
